storeid,type,price
87,车厘子,80
87,鳕鱼,385
87,带鱼,27.68
87,鸡爪,142.89
87,鸭掌,32.04
87,冷鲜肉,50.4
87,西兰花,35.937
87,菠菜,17.27
87,萝卜,23.85
87,芦笋,60.39
87,西红柿,19.2
87,苦瓜,15.52
87,松花蛋,35.83
87,汤圆,36.19
87,鸡胸肉,29.8
88,鸡翅,65.89
88,猪肋排,52.5
88,鳕鱼,350
88,巴沙鱼,27.72
88,皮皮虾,85.33
88,鸭掌,35.6
88,冷鲜肉,56
88,菠菜,17.27
88,白菜,12.25
88,香菜,52.67
88,萝卜,21.465
88,土豆,4.4
88,芦笋,54.9
88,汤圆,36.19
88,鸭舌,142.8
88,鸡胸肉,29.8
88,羊肉片,178
89,草莓,57.6
89,牛排,79.33
89,鳕鱼,385
89,牛里脊,155
89,鸡爪,129.9
89,鸭掌,35.6
89,白菜,12.25
89,香菜,52.67
89,芦笋,54.9
89,苦瓜,15.52
89,松花蛋,35.83
89,鸡柳,34.26
89,汤圆,36.19
90,猪肋排,52.5
90,牛排,79.33
90,鳕鱼,350
90,皮皮虾,93.863
90,牛里脊,139.5
90,鸡爪,129.9
90,菠菜,17.27
90,萝卜,23.85
90,西红柿,19.2
90,苦瓜,13.968
90,松花蛋,32.247
90,汤圆,32.9
90,鸭舌,142.8
91,草莓,64
91,猪肋排,47.25
91,牛排,79.33
91,巴沙鱼,27.72
91,西兰花,32.67
91,白菜,12.25
91,萝卜,23.85
91,土豆,4.4
91,芦笋,54.9
91,松花蛋,32.247
91,鸡柳,37.686
91,羊肉片,160.2
92,草莓,64
92,水蜜桃,44
92,车厘子,80
92,鳕鱼,350
92,巴沙鱼,30.8
92,皮皮虾,85.33
92,鸡爪,129.9
92,西兰花,35.937
92,香菜,52.67
92,萝卜,21.465
92,土豆,4.4
92,芦笋,60.39
92,西红柿,21.12
92,松花蛋,32.247
92,汤圆,29.61
92,羊肉片,178
93,草莓,64
93,水蜜桃,39.6
93,鸡翅,59.9
93,鳕鱼,315
93,巴沙鱼,27.72
93,牛里脊,155
93,西兰花,32.67
93,菠菜,17.27
93,香菜,52.67
93,萝卜,23.85
93,土豆,3.96
93,松花蛋,32.247
93,汤圆,32.9
93,鸡胸肉,29.8
93,羊肉片,178
94,草莓,64
94,水蜜桃,44
94,牛排,87.263
94,鳕鱼,350
94,皮皮虾,85.33
94,鸡爪,129.9
94,香菜,52.67
94,西红柿,19.2
94,松花蛋,35.83
94,鸡柳,30.834
94,汤圆,32.9
94,鸡胸肉,29.8
95,车厘子,80
95,鸡翅,59.9
95,鳕鱼,350
95,带鱼,27.68
95,巴沙鱼,30.8
95,鸡爪,142.89
95,鸭掌,32.04
95,冷鲜肉,50.4
95,香菜,57.937
95,萝卜,23.85
95,土豆,4.4
95,芦笋,54.9
95,苦瓜,17.072
95,松花蛋,39.413
95,鸡柳,34.26
95,鸭舌,142.8
95,鸡胸肉,29.8
95,羊肉片,178
96,猪肋排,57.75
96,牛排,71.397
96,带鱼,27.68
96,皮皮虾,76.797
96,鸡爪,129.9
96,西兰花,32.67
96,土豆,4.84
96,芦笋,54.9
96,西红柿,19.2
96,汤圆,32.9
96,羊肉片,178
97,草莓,70.4
97,水蜜桃,48.4
97,车厘子,88
97,牛排,79.33
97,巴沙鱼,33.88
97,皮皮虾,85.33
97,西兰花,35.937
97,香菜,52.67
97,萝卜,21.465
97,土豆,4.84
97,芦笋,54.9
97,西红柿,19.2
97,汤圆,29.61
97,羊肉片,178
98,草莓,64
98,水蜜桃,44
98,车厘子,80
98,鸡翅,59.9
98,猪肋排,52.5
98,牛排,79.33
98,鳕鱼,350
98,带鱼,27.68
98,皮皮虾,76.797
98,牛里脊,155
98,鸡爪,129.9
98,鸭掌,35.6
98,西兰花,32.67
98,香菜,52.67
98,萝卜,23.85
98,西红柿,19.2
98,苦瓜,13.968
98,鸭舌,157.08
98,鸡胸肉,29.8
98,羊肉片,160.2
99,车厘子,72
99,猪肋排,47.25
99,牛里脊,155
99,鸡爪,129.9
99,鸭掌,35.6
99,菠菜,17.27
99,萝卜,21.465
99,西红柿,19.2
99,鸡柳,37.686
99,鸭舌,157.08
99,鸡胸肉,26.82
99,羊肉片,178
100,车厘子,80
100,鸡翅,59.9
100,牛排,79.33
100,巴沙鱼,27.72
100,牛里脊,155
100,鸡爪,129.9
100,萝卜,23.85
100,土豆,4.4
100,松花蛋,35.83
100,汤圆,32.9
100,鸭舌,142.8
100,鸡胸肉,26.82
101,草莓,57.6
101,鸡翅,65.89
101,鳕鱼,350
101,带鱼,30.448
101,鸭掌,35.6
101,冷鲜肉,50.4
101,菠菜,17.27
101,白菜,12.25
101,萝卜,21.465
101,苦瓜,15.52
101,松花蛋,35.83
101,汤圆,32.9
101,鸡胸肉,29.8
102,鸡翅,65.89
102,牛排,79.33
102,带鱼,24.912
102,牛里脊,139.5
102,西兰花,35.937
102,鸭舌,142.8
102,羊肉片,160.2
103,草莓,64
103,水蜜桃,44
103,鸡翅,59.9
103,猪肋排,52.5
103,带鱼,27.68
103,巴沙鱼,30.8
103,皮皮虾,93.863
103,牛里脊,155
103,鸡爪,129.9
103,西兰花,32.67
103,香菜,52.67
103,芦笋,60.39
103,苦瓜,15.52
103,松花蛋,35.83
104,水蜜桃,39.6
104,带鱼,27.68
104,鸡爪,142.89
104,菠菜,17.27
104,土豆,4.4
104,汤圆,32.9
104,鸭舌,142.8
104,鸡胸肉,29.8
105,车厘子,80
105,鸡翅,53.91
105,猪肋排,52.5
105,牛排,87.263
105,巴沙鱼,30.8
105,冷鲜肉,56
105,菠菜,17.27
105,白菜,13.475
105,土豆,3.96
105,芦笋,54.9
105,西红柿,19.2
105,鸡柳,34.26
105,汤圆,32.9
105,鸭舌,142.8
105,鸡胸肉,29.8
105,羊肉片,160.2
106,水蜜桃,44
106,车厘子,80
106,鸡翅,59.9
106,牛排,79.33
106,鳕鱼,315
106,带鱼,24.912
106,皮皮虾,76.797
106,牛里脊,155
106,香菜,57.937
106,萝卜,23.85
106,土豆,4.4
106,芦笋,54.9
106,松花蛋,35.83
106,鸭舌,142.8
106,鸡胸肉,29.8
106,羊肉片,178
107,草莓,64
107,车厘子,80
107,鸡翅,65.89
107,牛排,79.33
107,带鱼,27.68
107,巴沙鱼,30.8
107,皮皮虾,85.33
107,牛里脊,139.5
107,冷鲜肉,56
107,西兰花,32.67
107,菠菜,18.997
107,白菜,12.25
107,土豆,4.84
107,西红柿,19.2
107,鸡柳,30.834
107,鸭舌,157.08
107,鸡胸肉,29.8
108,水蜜桃,44
108,鸡翅,59.9
108,巴沙鱼,30.8
108,皮皮虾,76.797
108,牛里脊,155
108,冷鲜肉,50.4
108,西兰花,35.937
108,菠菜,17.27
108,松花蛋,35.83
108,鸭舌,157.08
109,草莓,70.4
109,鸡翅,65.89
109,猪肋排,52.5
109,牛排,71.397
109,皮皮虾,85.33
109,牛里脊,139.5
109,鸭掌,35.6
109,西兰花,32.67
109,香菜,52.67
109,土豆,4.4
109,芦笋,54.9
109,西红柿,19.2
109,苦瓜,13.968
109,鸡柳,34.26
109,鸭舌,142.8
110,草莓,64
110,水蜜桃,44
110,车厘子,80
110,鸡翅,59.9
110,猪肋排,52.5
110,皮皮虾,76.797
110,牛里脊,155
110,冷鲜肉,61.6
110,西兰花,35.937
110,菠菜,18.997
110,香菜,52.67
110,萝卜,21.465
110,芦笋,54.9
110,西红柿,19.2
110,松花蛋,39.413
110,鸡柳,34.26
111,草莓,64
111,车厘子,72
111,鸡翅,59.9
111,巴沙鱼,30.8
111,冷鲜肉,56
111,西兰花,32.67
111,菠菜,17.27
111,土豆,3.96
111,芦笋,54.9
111,汤圆,32.9
111,鸡胸肉,29.8
112,草莓,57.6
112,鸡翅,53.91
112,鳕鱼,350
112,牛里脊,139.5
112,鸡爪,142.89
112,菠菜,18.997
112,白菜,12.25
112,苦瓜,15.52
112,松花蛋,35.83
112,羊肉片,195.8
113,草莓,64
113,水蜜桃,39.6
113,鸡翅,59.9
113,猪肋排,47.25
113,牛排,79.33
113,巴沙鱼,30.8
113,皮皮虾,85.33
113,牛里脊,155
113,鸡爪,129.9
113,鸭掌,32.04
113,冷鲜肉,56
113,西兰花,32.67
113,菠菜,17.27
113,白菜,12.25
113,芦笋,54.9
113,松花蛋,32.247
113,汤圆,36.19
113,鸡胸肉,29.8
113,羊肉片,195.8
114,草莓,64
114,车厘子,80
114,鸡翅,59.9
114,鳕鱼,385
114,牛里脊,155
114,鸡爪,142.89
114,冷鲜肉,56
114,西兰花,32.67
114,白菜,12.25
114,香菜,52.67
114,西红柿,17.28
114,鸡柳,37.686
114,汤圆,29.61
114,鸭舌,142.8
114,鸡胸肉,29.8
115,水蜜桃,44
115,猪肋排,52.5
115,牛排,79.33
115,鳕鱼,385
115,皮皮虾,85.33
115,牛里脊,139.5
115,鸡爪,129.9
115,鸭掌,35.6
115,西兰花,32.67
115,菠菜,17.27
115,萝卜,23.85
115,土豆,4.4
115,芦笋,60.39
115,西红柿,19.2
115,汤圆,32.9
115,鸡胸肉,29.8
115,羊肉片,178
116,水蜜桃,48.4
116,车厘子,88
116,鸡翅,59.9
116,牛排,87.263
116,鳕鱼,350
116,巴沙鱼,27.72
116,牛里脊,155
116,冷鲜肉,56
116,白菜,11.025
116,香菜,52.67
116,芦笋,54.9
116,汤圆,32.9
117,鳕鱼,350
117,带鱼,30.448
117,巴沙鱼,30.8
117,皮皮虾,93.863
117,鸡爪,129.9
117,冷鲜肉,50.4
117,菠菜,18.997
117,香菜,52.67
117,土豆,4.4
117,芦笋,54.9
117,苦瓜,15.52
117,松花蛋,35.83
117,鸭舌,142.8
118,水蜜桃,44
118,车厘子,80
118,猪肋排,57.75
118,巴沙鱼,30.8
118,牛里脊,155
118,鸡爪,129.9
118,鸭掌,32.04
118,冷鲜肉,56
118,白菜,13.475
118,香菜,52.67
118,萝卜,23.85
118,土豆,4.4
118,苦瓜,15.52
118,松花蛋,35.83
118,鸡柳,34.26
118,汤圆,32.9
119,草莓,64
119,水蜜桃,44
119,鸡翅,59.9
119,猪肋排,52.5
119,牛排,71.397
119,鳕鱼,350
119,带鱼,24.912
119,西兰花,35.937
119,白菜,12.25
119,萝卜,21.465
119,土豆,3.96
119,芦笋,54.9
119,鸡柳,30.834
119,鸭舌,142.8
119,鸡胸肉,29.8
120,鸡翅,59.9
120,鳕鱼,315
120,巴沙鱼,30.8
120,皮皮虾,85.33
120,牛里脊,155
120,西兰花,32.67
120,香菜,52.67
120,土豆,3.96
120,汤圆,32.9
120,羊肉片,178
121,水蜜桃,44
121,猪肋排,52.5
121,牛排,79.33
121,巴沙鱼,27.72
121,皮皮虾,85.33
121,鸡爪,129.9
121,冷鲜肉,61.6
121,菠菜,17.27
121,白菜,12.25
121,萝卜,23.85
121,芦笋,54.9
121,松花蛋,35.83
121,鸡柳,34.26
121,鸭舌,142.8
121,鸡胸肉,29.8
121,羊肉片,160.2
122,草莓,57.6
122,车厘子,80
122,鸡翅,59.9
122,猪肋排,52.5
122,牛排,79.33
122,带鱼,27.68
122,巴沙鱼,30.8
122,牛里脊,155
122,鸡爪,142.89
122,冷鲜肉,56
122,白菜,12.25
122,土豆,4.84
122,芦笋,54.9
122,苦瓜,13.968
122,松花蛋,39.413
122,鸡柳,34.26
122,汤圆,32.9
122,鸭舌,157.08
122,鸡胸肉,29.8
122,羊肉片,178
123,草莓,64
123,车厘子,80
123,鸡翅,59.9
123,牛排,79.33
123,鳕鱼,350
123,带鱼,27.68
123,鸡爪,129.9
123,冷鲜肉,56
123,香菜,52.67
123,萝卜,23.85
123,土豆,4.4
123,芦笋,60.39
124,草莓,70.4
124,车厘子,80
124,鸡翅,59.9
124,鳕鱼,350
124,牛里脊,155
124,鸡爪,142.89
124,鸭掌,32.04
124,西兰花,35.937
124,白菜,11.025
124,鸡柳,34.26
124,羊肉片,178
125,水蜜桃,44
125,牛排,87.263
125,带鱼,27.68
125,巴沙鱼,30.8
125,鸡爪,129.9
125,鸭掌,35.6
125,冷鲜肉,56
125,西兰花,32.67
125,菠菜,18.997
125,白菜,11.025
125,香菜,52.67
125,萝卜,23.85
125,土豆,4.4
125,西红柿,17.28
125,苦瓜,13.968
125,鸡柳,34.26
125,汤圆,32.9
125,鸡胸肉,29.8
125,羊肉片,178
126,草莓,64
126,水蜜桃,39.6
126,鸡翅,59.9
126,猪肋排,47.25
126,牛排,79.33
126,带鱼,27.68
126,冷鲜肉,56
126,菠菜,17.27
126,白菜,12.25
126,香菜,52.67
126,萝卜,23.85
126,土豆,3.96
126,芦笋,54.9
126,西红柿,21.12
126,苦瓜,13.968
126,松花蛋,35.83
126,汤圆,29.61
127,草莓,64
127,鳕鱼,385
127,带鱼,27.68
127,巴沙鱼,30.8
127,皮皮虾,76.797
127,鸡爪,129.9
127,西兰花,35.937
127,白菜,13.475
127,土豆,4.4
127,苦瓜,15.52
127,松花蛋,35.83
127,汤圆,32.9
127,鸡胸肉,29.8
127,羊肉片,178
128,鸡翅,53.91
128,牛排,71.397
128,鳕鱼,350
128,巴沙鱼,27.72
128,皮皮虾,85.33
128,牛里脊,139.5
128,鸡爪,129.9
128,鸭掌,32.04
128,冷鲜肉,56
128,西兰花,35.937
128,菠菜,18.997
128,白菜,11.025
128,萝卜,23.85
128,芦笋,54.9
128,鸡柳,30.834
128,汤圆,32.9
128,鸭舌,142.8
129,水蜜桃,44
129,车厘子,80
129,猪肋排,52.5
129,牛排,79.33
129,鳕鱼,315
129,巴沙鱼,30.8
129,皮皮虾,85.33
129,鸡爪,129.9
129,冷鲜肉,56
129,菠菜,18.997
129,白菜,12.25
129,西红柿,19.2
129,鸭舌,142.8
130,草莓,64
130,水蜜桃,44
130,车厘子,72
130,牛排,79.33
130,鳕鱼,315
130,巴沙鱼,27.72
130,牛里脊,155
130,鸡爪,129.9
130,冷鲜肉,61.6
130,西兰花,32.67
130,菠菜,17.27
130,萝卜,26.235
130,西红柿,19.2
130,汤圆,32.9
130,鸭舌,142.8
130,羊肉片,195.8
131,车厘子,80
131,鸡翅,59.9
131,鳕鱼,350
131,巴沙鱼,30.8
131,皮皮虾,76.797
131,牛里脊,155
131,鸡爪,129.9
131,鸭掌,35.6
131,冷鲜肉,56
131,菠菜,17.27
131,萝卜,23.85
131,土豆,4.4
131,芦笋,60.39
131,西红柿,19.2
131,鸭舌,142.8
131,鸡胸肉,29.8
131,羊肉片,178
132,水蜜桃,44
132,鸡翅,65.89
132,巴沙鱼,30.8
132,皮皮虾,93.863
132,鸡爪,129.9
132,冷鲜肉,61.6
132,西兰花,32.67
132,香菜,57.937
132,萝卜,21.465
132,西红柿,19.2
132,鸡柳,34.26
133,鸡翅,59.9
133,鳕鱼,350
133,皮皮虾,76.797
133,鸭掌,32.04
133,冷鲜肉,61.6
133,西兰花,32.67
133,菠菜,18.997
133,白菜,13.475
133,香菜,52.67
133,萝卜,23.85
133,苦瓜,15.52
133,松花蛋,35.83
133,汤圆,32.9
133,鸭舌,142.8
133,羊肉片,178
134,草莓,57.6
134,水蜜桃,48.4
134,车厘子,80
134,鸡翅,53.91
134,猪肋排,52.5
134,牛排,79.33
134,带鱼,27.68
134,巴沙鱼,33.88
134,皮皮虾,85.33
134,鸡爪,129.9
134,鸭掌,35.6
134,冷鲜肉,56
134,香菜,57.937
134,松花蛋,32.247
134,鸡柳,34.26
134,鸭舌,157.08
134,羊肉片,160.2
135,草莓,64
135,水蜜桃,39.6
135,车厘子,88
135,鸡翅,53.91
135,猪肋排,52.5
135,牛排,71.397
135,鳕鱼,350
135,牛里脊,155
135,鸭掌,35.6
135,冷鲜肉,56
135,菠菜,17.27
135,土豆,4.4
135,芦笋,54.9
135,松花蛋,32.247
135,鸡柳,34.26
135,汤圆,32.9
135,鸭舌,157.08
136,水蜜桃,44
136,鸡翅,59.9
136,牛排,79.33
136,巴沙鱼,30.8
136,鸡爪,129.9
136,菠菜,17.27
136,萝卜,23.85
136,土豆,4.84
136,西红柿,19.2
136,苦瓜,15.52
136,鸡柳,30.834
136,鸡胸肉,29.8
136,羊肉片,160.2
137,车厘子,80
137,猪肋排,47.25
137,带鱼,30.448
137,鸡爪,142.89
137,冷鲜肉,56
137,白菜,12.25
137,土豆,4.4
137,芦笋,60.39
137,西红柿,17.28
137,苦瓜,17.072
137,汤圆,29.61
137,鸡胸肉,32.78
137,羊肉片,178
138,草莓,64
138,牛排,87.263
138,鳕鱼,350
138,带鱼,27.68
138,巴沙鱼,30.8
138,牛里脊,139.5
138,冷鲜肉,56
138,白菜,11.025
138,土豆,4.84
138,苦瓜,15.52
138,松花蛋,35.83
139,鸡翅,59.9
139,牛排,71.397
139,鳕鱼,350
139,巴沙鱼,27.72
139,皮皮虾,93.863
139,冷鲜肉,61.6
139,西兰花,32.67
139,白菜,11.025
139,香菜,57.937
139,土豆,4.4
139,西红柿,19.2
139,鸡胸肉,29.8
140,草莓,57.6
140,鳕鱼,350
140,带鱼,30.448
140,巴沙鱼,30.8
140,皮皮虾,76.797
140,鸭掌,35.6
140,冷鲜肉,56
140,西兰花,35.937
140,白菜,12.25
140,土豆,4.4
140,苦瓜,15.52
140,松花蛋,35.83
140,鸡柳,34.26
140,鸡胸肉,32.78
141,水蜜桃,44
141,鸡翅,59.9
141,牛排,79.33
141,带鱼,27.68
141,皮皮虾,85.33
141,鸡爪,129.9
141,鸭掌,32.04
141,菠菜,17.27
141,香菜,52.67
141,萝卜,26.235
141,西红柿,19.2
141,松花蛋,39.413
141,鸡柳,34.26
142,车厘子,80
142,猪肋排,52.5
142,牛排,79.33
142,鳕鱼,350
142,带鱼,24.912
142,皮皮虾,85.33
142,牛里脊,155
142,鸭掌,35.6
142,西兰花,32.67
142,菠菜,17.27
142,香菜,52.67
142,土豆,4.4
142,芦笋,54.9
142,西红柿,21.12
142,苦瓜,15.52
142,松花蛋,39.413
142,鸡柳,34.26
142,鸭舌,142.8
